year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,1,10328746.0,49.0,37.0,41.0,59.0
2024,1,10328747.0,15.0,17.0,-11.0,10.0
2024,1,10328748.0,53.0,38.0,-2.0,50.0
2024,1,10328749.0,18.0,13.0,26.0,18.0
2024,1,10328753.0,32.0,19.0,24.0,32.0
2024,1,10328755.0,38.0,28.0,9.0,43.0
2024,1,10328756.0,43.0,28.0,48.0,36.0
2024,1,10328760.0,10.0,3.0,0.0,7.0
2024,1,31002002.0,26.0,15.0,52.0,24.0
2024,1,31002004.0,26.0,13.0,52.0,27.0
2024,1,31002005.0,12.0,5.0,58.0,2.0
2024,1,31003000.0,36.0,41.0,13.0,44.0
2024,1,31003003.0,29.0,31.0,40.0,36.0
2024,1,31005000.0,28.0,23.0,8.0,20.0
2024,1,31005002.0,29.0,33.0,56.0,28.0
2024,1,31008000.0,69.0,56.0,27.0,69.0
2024,1,31008002.0,0.0,12.0,23.0,5.0
2024,1,31008004.0,65.0,44.0,41.0,65.0
2024,1,31008006.0,0.0,0.0,29.0,-6.0
2024,1,31010000.0,60.0,57.0,28.0,65.0
2024,1,31012000.0,59.0,49.0,5.0,60.0
2024,1,31012002.0,0.0,0.0,19.0,-2.0
2024,1,31013000.0,23.0,15.0,9.0,16.0
2024,1,33002000.0,0.0,0.0,21.0,9.0
2024,1,33002004.0,17.0,6.0,32.0,20.0
2024,1,33002008.0,0.0,0.0,26.0,-10.0
2024,1,33002009.0,62.0,42.0,-2.0,52.0
2024,1,33006002.0,0.0,0.0,8.0,-1.0
2024,1,33006003.0,0.0,0.0,54.0,3.0
2024,1,33007000.0,3.0,2.0,21.0,4.0
2024,1,33007002.0,85.0,47.0,-2.0,78.0
2024,1,33007004.0,7.0,5.0,-2.0,17.0
2024,1,33007006.0,0.0,0.0,42.0,4.0
2024,1,35002000.0,0.0,0.0,17.0,10.0
2024,1,35002002.0,29.0,21.0,25.0,33.0
2024,1,35003000.0,10.0,25.0,33.0,7.0
2024,1,35003001.0,5.0,10.0,36.0,15.0
2024,1,35003003.0,73.0,47.0,9.0,64.0
2024,1,35004000.0,4.0,2.0,30.0,1.0
2024,1,35006000.0,43.0,47.0,18.0,51.0
2024,1,35006002.0,43.0,49.0,11.0,53.0
2024,1,35007000.0,42.0,42.0,41.0,50.0
2024,1,35008000.0,21.0,8.0,37.0,18.0
2024,1,35009000.0,19.0,17.0,28.0,27.0
2024,1,37005000.0,48.0,37.0,36.0,50.0
2024,1,37006000.0,72.0,53.0,18.0,76.0
2024,1,37006001.0,14.0,6.0,11.0,16.0
2024,1,37007000.0,32.0,22.0,12.0,37.0
2024,1,37008000.0,19.0,17.0,48.0,18.0
2024,1,37009000.0,42.0,41.0,-4.0,36.0
2024,1,39001010.0,42.0,30.0,66.0,45.0
2024,1,39001012.0,23.0,16.0,39.0,21.0
2024,1,39001014.0,9.0,5.0,-11.0,12.0
2024,1,39001020.0,21.0,11.0,22.0,29.0
2024,1,39002000.0,12.0,5.0,-2.0,21.0
2024,1,39002002.0,26.0,14.0,71.0,32.0
2024,1,39002005.0,31.0,30.0,-2.0,27.0
2024,1,39002010.0,32.0,24.0,46.0,26.0
2024,1,39008000.0,2.0,2.0,-2.0,-4.0
2024,2,10328746.0,48.0,43.0,19.0,51.0
2024,2,10328747.0,12.0,12.0,49.0,21.0
2024,2,10328748.0,38.0,33.0,42.0,39.0
2024,2,10328749.0,26.0,19.0,36.0,17.0
2024,2,10328753.0,22.0,15.0,34.0,18.0
2024,2,10328755.0,44.0,34.0,34.0,46.0
2024,2,10328756.0,36.0,29.0,0.0,40.0
2024,2,10328760.0,18.0,16.0,37.0,24.0
2024,2,31002002.0,33.0,24.0,10.0,41.0
2024,2,31002004.0,26.0,15.0,24.0,20.0
2024,2,31002005.0,9.0,5.0,12.0,14.0
2024,2,31003000.0,21.0,24.0,22.0,19.0
2024,2,31003003.0,20.0,22.0,21.0,11.0
2024,2,31005000.0,21.0,26.0,33.0,11.0
2024,2,31005002.0,14.0,14.0,25.0,24.0
2024,2,31008000.0,38.0,46.0,17.0,48.0
2024,2,31008002.0,32.0,28.0,27.0,27.0
2024,2,31008004.0,37.0,26.0,47.0,36.0
2024,2,31008006.0,0.0,6.0,28.0,2.0
2024,2,31010000.0,53.0,46.0,24.0,45.0
2024,2,31012000.0,26.0,16.0,12.0,36.0
2024,2,31012002.0,0.0,0.0,21.0,-1.0
2024,2,31013000.0,10.0,5.0,16.0,14.0
2024,2,33002000.0,0.0,0.0,17.0,-4.0
2024,2,33002004.0,55.0,44.0,17.0,52.0
2024,2,33002008.0,0.0,0.0,44.0,-7.0
2024,2,33002009.0,53.0,39.0,-8.0,49.0
2024,2,33006002.0,0.0,0.0,23.0,4.0
2024,2,33006003.0,0.0,0.0,0.0,-3.0
2024,2,33007000.0,0.0,0.0,19.0,-10.0
2024,2,33007002.0,47.0,45.0,-0.0,50.0
2024,2,33007004.0,0.0,0.0,19.0,-10.0
2024,2,33007006.0,28.0,11.0,40.0,38.0
2024,2,35002000.0,19.0,10.0,25.0,20.0
2024,2,35002002.0,4.0,3.0,29.0,-4.0
2024,2,35003000.0,33.0,39.0,43.0,26.0
2024,2,35003001.0,20.0,18.0,40.0,14.0
2024,2,35003003.0,34.0,30.0,24.0,42.0
2024,2,35004000.0,14.0,5.0,39.0,9.0
2024,2,35006000.0,31.0,47.0,22.0,32.0
2024,2,35006002.0,34.0,34.0,13.0,30.0
2024,2,35007000.0,17.0,25.0,35.0,12.0
2024,2,35008000.0,21.0,12.0,24.0,29.0
2024,2,35009000.0,16.0,15.0,25.0,21.0
2024,2,37005000.0,33.0,34.0,45.0,35.0
2024,2,37006000.0,26.0,20.0,-0.0,21.0
2024,2,37006001.0,10.0,6.0,27.0,13.0
2024,2,37007000.0,24.0,18.0,39.0,22.0
2024,2,37008000.0,34.0,39.0,0.0,38.0
2024,2,37009000.0,30.0,23.0,46.0,20.0
2024,2,39001010.0,21.0,16.0,13.0,28.0
2024,2,39001012.0,20.0,14.0,-0.0,22.0
2024,2,39001014.0,11.0,5.0,0.0,20.0
2024,2,39001020.0,17.0,6.0,58.0,9.0
2024,2,39002000.0,14.0,5.0,3.0,21.0
2024,2,39002002.0,19.0,9.0,37.0,25.0
2024,2,39002005.0,13.0,5.0,28.0,3.0
