outlet_name,outlet_code_dms,outlet_location,state,region,dealership,outlet_status,time
31002005,,,,,,inactive,1707204703
Aman razak cartrade sdn bhd (k. bharu),37003000,k. bharu,,,,inactive,1707204703
Aragaya automobil sdn bhd,39001000,,,,,inactive,1707204703
Auto gallery aftersales centre sdn. bhd. (as),,as,,,,inactive,1707204703
Auto gallery aftersales centre sdn. bhd. (kangar),,kangar,,,,inactive,1707204703
Auto gallery cartrade sdn bhd (juru),33006005,,,,,inactive,1707204703
Auto pacifica sdn bhd (bangsar),31002000,,,,,inactive,1707204703
Auto pacifica sdn bhd (bintulu),31002004,bintulu,SARAWAK,SARAWAK,AP,active,1707204703
Auto pacifica sdn bhd (kota samarahan),31002005,kota samarahan,SARAWAK,SARAWAK,AP,active,1707204703
Auto pacifica sdn bhd (miri),31002002,miri,SARAWAK,SARAWAK,AP,active,1707204703
Auto pacifica sdn bhd (puchong),31002003,,,,,inactive,1707204703
Auto raya timur sdn bhd (temerloh),37008000,temerloh,PAHANG,EASTERN,ART,active,1707204703
Ban lee heng motor (nilai) sdn. bhd.,35009000,nilai,N.SEMBILAN,SOUTHERN,BLHN,active,1707204703
Carcomobil sdn bhd (langkawi),33004000,,,,,inactive,1707204703
Edaran berlian sdn bhd,37004000,,,,,inactive,1707204703
Eon auto mart sdn bhd (ampang),10328746,ampang,CENTRAL,CENTRAL,EAM,active,1707204703
Eon auto mart sdn bhd (bayan lepas),10328749,bayan lepas,PENANG,NORTHERN,EAM,active,1707204703
Eon auto mart sdn bhd (bintulu),10328759,,,,,inactive,1707204703
Eon auto mart sdn bhd (glenmarie),10328755,shah alam,CENTRAL,CENTRAL,EAM,active,1707204703
Eon auto mart sdn bhd (hq),10328734,,,,,inactive,1707204703
Eon auto mart sdn bhd (johor bahru),10328748,johor bahru,JOHOR,SOUTHERN,EAM,active,1707204703
Eon auto mart sdn bhd (kota damansara),10328762,,,,,inactive,1707204703
Eon auto mart sdn bhd (kota kinabalu),10328756,kota kinabalu,SABAH,SABAH,EAM,active,1707204703
Eon auto mart sdn bhd (kuching),10328753,kuching,SARAWAK,SARAWAK,EAM,active,1707204703
Eon auto mart sdn bhd (labuan),10328744,,,,,inactive,1707204703
Eon auto mart sdn bhd (melaka),10328747,batu berendam,MELAKA,SOUTHERN,EAM,active,1707204703
Eon auto mart sdn bhd (miri),10328758,,,,,inactive,1707204703
Eon auto mart sdn bhd (petaling jaya),10328751,,,,,inactive,1707204703
